Dependents,tenure,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Yes,72,Fiber optic,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),105.25,7609.75,No
No,6,DSL,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),78.65,483.3,No
No,62,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.1,5618.3,No
No,72,Fiber optic,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.7,6185.15,No
No,18,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,33.6,550.35,No
No,12,DSL,Yes,Yes,No,No,Month-to-month,No,Mailed check,56.65,654.85,Yes
No,42,DSL,Yes,Yes,No,Yes,One year,No,Credit card (automatic),73.9,3160.55,Yes
No,70,Fiber optic,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),84.6,5706.2,No
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.7,50.7,No
No,20,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),55.0,1165.55,No
Yes,72,DSL,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),68.4,4855.35,No
No,16,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),80.75,1321.3,No
Yes,49,DSL,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.75,3024.15,No
Yes,36,DSL,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,No
No,31,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Electronic check,87.6,2724.25,No
No,5,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.15,413.25,No
No,46,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,84.25,3847.6,No
No,17,DSL,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),79.85,1387.35,No
Yes,65,DSL,Yes,No,No,Yes,One year,No,Credit card (automatic),72.45,4653.85,Yes
No,42,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2,4400.75,Yes
No,35,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.95,4025.5,No
Yes,67,Fiber optic,Yes,No,No,No,One year,No,Bank transfer (automatic),84.8,5598.3,No
No,60,DSL,Yes,No,No,Yes,One year,Yes,Electronic check,71.75,4374.55,No
Yes,34,DSL,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No
No,4,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.9,360.55,No
No,53,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Electronic check,110.5,5835.5,No
No,63,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.4,7031.45,No
No,13,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,65.85,902.25,No
No,61,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),99.4,5943.65,No
Yes,41,DSL,Yes,Yes,Yes,Yes,Two year,No,Electronic check,78.45,3126.45,No
No,58,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),71.1,4299.2,No
No,39,DSL,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),40.3,1630.4,No
No,7,DSL,Yes,No,No,No,One year,No,Mailed check,35.3,264.8,No
Yes,72,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.55,7542.25,No
Yes,65,DSL,Yes,No,No,No,One year,No,Bank transfer (automatic),61.35,3874.1,No
No,62,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Mailed check,113.95,6891.4,No
No,55,DSL,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,90.15,4916.95,No
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,29.7,29.7,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,No
No,61,DSL,Yes,No,No,Yes,Two year,Yes,Mailed check,69.9,4226.7,No
Yes,68,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),103.25,7074.4,No
No,72,Fiber optic,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),94.25,6849.75,No
Yes,72,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),81.0,5750.0,No
Yes,21,DSL,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),75.9,1549.75,No
No,69,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),110.25,7467.55,No
No,64,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.0,5484.4,No
No,52,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),111.25,5916.45,Yes
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.1,113.35,Yes
Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.5,7854.9,No
No,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.2,8547.15,No
Yes,57,DSL,Yes,Yes,No,No,One year,Yes,Mailed check,59.3,3274.35,No
No,56,Fiber optic,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),109.8,6109.65,No
No,52,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.9,2020.9,No
No,58,DSL,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.9,3795.45,No
Yes,71,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.0,8175.9,No
No,67,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),83.85,5588.8,No
No,23,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.0,2024.1,No
Yes,67,DSL,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),54.2,3623.95,No
No,39,Fiber optic,Yes,No,Yes,Yes,One year,No,Mailed check,99.1,3877.95,No
No,69,DSL,Yes,Yes,No,No,Two year,Yes,Mailed check,66.9,4577.9,No
No,26,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,No
No,36,DSL,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),89.65,3348.1,No
No,7,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,74.35,533.6,No
No,45,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),75.15,3480.35,No
Yes,47,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.05,4137.2,No
No,35,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),91.0,3180.5,No
Yes,32,Fiber optic,Yes,No,No,Yes,One year,Yes,Electronic check,90.8,3023.85,No
No,66,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,No
Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.7,6501.35,No
No,50,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.95,5231.3,No
No,47,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.85,5275.8,Yes
Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),91.95,6614.9,No
No,69,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.05,7430.75,No
No,5,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,80.7,374.8,No
Yes,21,DSL,Yes,Yes,Yes,No,One year,No,Mailed check,77.5,1625.0,Yes
No,46,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,85.0,3969.4,Yes
No,61,DSL,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),80.8,4860.85,No
Yes,58,DSL,Yes,Yes,No,No,Two year,No,Credit card (automatic),71.6,4230.25,No
Yes,62,Fiber optic,Yes,No,No,No,One year,Yes,Credit card (automatic),81.45,4983.05,No
Yes,10,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),53.7,521.0,No
Yes,70,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),64.95,4551.5,No
Yes,22,DSL,Yes,No,No,Yes,Month-to-month,No,Mailed check,40.05,880.2,Yes
Yes,72,Fiber optic,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),107.45,7658.3,No
Yes,72,DSL,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),83.6,5959.3,No
No,54,DSL,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),65.3,3512.9,No
No,69,Fiber optic,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.15,6875.35,No
Yes,50,DSL,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),39.45,2021.35,No
No,60,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,97.2,5611.75,No
No,69,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,110.55,7610.1,No
No,45,Fiber optic,Yes,No,No,Yes,One year,No,Bank transfer (automatic),96.75,4442.75,No
No,27,Fiber optic,Yes,No,No,No,One year,Yes,Electronic check,85.9,2220.1,No
No,62,DSL,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.4,4237.5,No
No,3,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.0,287.4,Yes
No,26,DSL,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),54.55,1362.85,No
No,59,DSL,Yes,Yes,No,Yes,One year,No,Credit card (automatic),79.85,4786.1,No
No,31,DSL,Yes,No,No,Yes,One year,Yes,Credit card (automatic),50.4,1580.1,No
Yes,64,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Electronic check,113.35,7222.75,No
No,26,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.0,2497.2,Yes
No,71,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,No
No,60,DSL,Yes,No,No,Yes,One year,Yes,Electronic check,44.45,2773.9,No
No,54,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.4,5643.4,Yes
Yes,48,DSL,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),70.1,3238.4,No
Yes,17,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,91.85,1574.45,Yes
No,70,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.75,6367.2,No
Yes,47,DSL,Yes,Yes,No,No,One year,No,Electronic check,40.3,1794.8,No
Yes,68,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.25,7173.15,No
Yes,55,Fiber optic,Yes,No,Yes,Yes,One year,No,Mailed check,100.9,5448.6,No
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.35,1358.85,Yes
No,42,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.4,4014.6,No
No,10,DSL,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.95,568.85,No
No,61,Fiber optic,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),93.7,5860.7,No
No,68,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),110.25,7279.35,No
No,10,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.9,1064.95,No
No,65,Fiber optic,Yes,No,No,No,One year,No,Electronic check,89.75,5769.6,Yes
No,9,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.85,708.2,No
No,70,DSL,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),48.4,3442.8,No
No,67,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,105.05,7171.7,No
Yes,38,DSL,Yes,Yes,Yes,No,One year,No,Electronic check,74.05,2802.3,No
Yes,23,DSL,Yes,Yes,No,No,Two year,No,Mailed check,40.1,857.75,No
Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.55,6093.3,No
No,26,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.4,2349.8,No
No,8,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),58.2,469.25,No
No,72,DSL,Yes,No,No,No,Two year,No,Bank transfer (automatic),59.75,4265.0,No
Yes,3,DSL,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,55.1,154.65,Yes
Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.6,8337.45,No
No,52,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.3,5731.4,No
No,60,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),101.4,6176.6,No
No,63,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),83.0,5243.05,No
Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.3,7679.65,No
No,58,DSL,Yes,No,Yes,No,One year,Yes,Electronic check,45.35,2540.1,No
No,67,DSL,Yes,Yes,Yes,No,Two year,No,Electronic check,43.9,3097.2,No
No,51,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.5,3807.35,Yes
No,69,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.9,5785.65,No
No,21,DSL,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),71.05,1524.85,No
No,52,DSL,Yes,No,No,No,One year,No,Electronic check,53.75,2790.65,No
Yes,52,DSL,Yes,No,No,Yes,One year,No,Bank transfer (automatic),44.25,2276.1,No
Yes,67,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),69.35,4653.25,No
No,35,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,61.0,2130.45,No
No,70,DSL,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),79.6,5589.45,No
Yes,35,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,3756.45,No
Yes,17,DSL,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.35,920.5,No
No,4,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,90.65,367.95,No
Yes,58,Fiber optic,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),89.85,5125.75,No
No,60,DSL,Yes,Yes,Yes,Yes,One year,No,Mailed check,79.0,4801.1,No
Yes,66,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,116.25,7862.25,No
No,15,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.75,1242.2,No
Yes,17,DSL,Yes,No,Yes,No,One year,No,Credit card (automatic),44.45,792.15,No
Yes,6,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.15,295.65,No
No,59,DSL,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.1,4096.9,No
No,50,DSL,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.35,3454.6,No
Yes,60,Fiber optic,Yes,No,Yes,No,One year,No,Bank transfer (automatic),94.15,5811.8,No
Yes,19,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,75.9,1375.6,No
Yes,53,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),64.15,3491.55,No
No,72,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.55,7920.7,No
No,37,DSL,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),90.6,3358.65,No
No,64,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,73.55,4764.0,No
No,40,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.85,4086.3,Yes
No,21,DSL,Yes,Yes,No,No,Two year,No,Mailed check,35.1,770.4,No
Yes,44,DSL,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),56.25,2419.55,No
Yes,56,DSL,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),59.8,3457.45,No
Yes,58,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.4,5435.6,Yes
Yes,46,Fiber optic,Yes,Yes,No,Yes,Two year,No,Mailed check,99.65,4630.2,No
Yes,63,DSL,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),50.65,3221.25,No
No,72,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,64.7,4746.05,No
No,43,DSL,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),34.0,1505.35,No
No,15,DSL,Yes,Yes,No,No,One year,No,Mailed check,45.9,693.45,No
No,63,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),36.1,2298.9,No
No,53,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Mailed check,96.75,5206.55,No
No,34,DSL,Yes,No,No,Yes,One year,No,Electronic check,64.35,2053.05,No
Yes,62,DSL,Yes,No,No,No,One year,No,Credit card (automatic),54.75,3425.35,No
No,24,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,51.15,1275.7,No
No,68,DSL,Yes,No,No,No,Two year,Yes,Electronic check,41.95,2965.75,No
Yes,70,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.55,8152.3,No
No,15,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.7,1566.75,No
No,4,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,29.15,110.05,No
No,68,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.8,6302.85,No
No,22,DSL,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,59.05,1253.5,No
Yes,10,DSL,Yes,Yes,No,Yes,One year,No,Credit card (automatic),73.55,693.3,No
No,72,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.3,5997.1,No
No,71,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),106.75,7283.25,No
No,64,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.5,6548.65,No
No,71,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,82.55,5832.65,No
No,64,DSL,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,No
No,57,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),74.3,4166.35,No
Yes,3,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),29.7,91.7,Yes
Yes,29,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),69.05,1958.45,No
No,48,DSL,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),83.45,3887.85,No
No,26,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),86.65,2208.75,No
Yes,64,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.05,3845.45,No
No,72,DSL,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,6129.65,No
No,34,DSL,Yes,Yes,No,No,Month-to-month,No,Electronic check,62.65,2274.9,Yes
No,69,DSL,Yes,No,No,No,One year,Yes,Credit card (automatic),53.65,3804.4,No
Yes,28,DSL,Yes,Yes,Yes,No,One year,No,Mailed check,50.8,1386.8,No
No,25,DSL,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,79.0,1902.0,No
Yes,71,DSL,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),77.55,5574.35,No
No,29,DSL,Yes,Yes,No,No,Month-to-month,No,Mailed check,67.45,1801.1,No
No,72,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),92.3,6719.9,No
No,47,DSL,Yes,Yes,No,No,One year,No,Credit card (automatic),39.65,1798.65,No
No,35,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3554.6,No
Yes,41,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.3,3893.6,No
No,60,DSL,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),37.7,2288.7,No
No,39,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),41.15,1700.9,No
No,41,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.65,3090.65,No
Yes,8,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),76.15,645.8,No
Yes,71,DSL,Yes,Yes,No,No,Two year,No,Mailed check,71.1,5224.95,No
No,30,DSL,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),79.3,2427.1,No
Yes,48,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),69.7,3023.65,No
No,67,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),107.05,7142.5,No
No,64,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.2,4481.0,Yes
No,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Electronic check,115.15,8349.7,No
No,27,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,50.35,1411.35,No
Yes,71,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,No
Yes,52,DSL,Yes,No,Yes,Yes,Two year,No,Electronic check,79.2,4016.3,No
No,68,Fiber optic,Yes,No,Yes,No,One year,No,Bank transfer (automatic),101.35,7110.75,No
No,52,DSL,Yes,No,No,No,One year,No,Mailed check,35.45,1958.95,No
No,70,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),79.4,5528.9,No
No,43,DSL,Yes,No,No,No,One year,Yes,Credit card (automatic),35.2,1463.7,No
No,12,DSL,Yes,Yes,No,Yes,Two year,No,Mailed check,49.85,552.1,No
Yes,56,DSL,Yes,No,No,Yes,One year,No,Bank transfer (automatic),68.75,3815.4,No
Yes,0,DSL,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),61.9,2283.3004408418674,No
Yes,51,DSL,Yes,No,Yes,Yes,One year,No,Electronic check,59.3,3014.65,Yes
No,51,Fiber optic,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),93.65,4839.15,No
Yes,4,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.4,184.4,Yes
No,57,DSL,Yes,Yes,No,No,Month-to-month,No,Electronic check,55.7,3171.6,No
Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),117.5,8670.1,No
No,62,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.95,4819.75,No
Yes,29,DSL,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,No
Yes,21,DSL,Yes,Yes,Yes,No,Two year,No,Mailed check,53.15,1183.2,No
No,61,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.6,6876.05,Yes
No,11,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),48.55,501.0,Yes
Yes,72,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),108.4,7767.25,No
Yes,55,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.1,4600.95,No
No,70,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Mailed check,111.15,7737.55,No
No,14,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Mailed check,105.95,1348.9,Yes
No,20,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.1,1879.25,No
Yes,43,Fiber optic,Yes,Yes,No,No,One year,Yes,Credit card (automatic),91.25,4013.8,No
Yes,5,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.35,434.5,No
No,39,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check,100.45,3801.7,No
No,45,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.7,3778.1,No
No,64,DSL,Yes,Yes,No,Yes,Two year,No,Electronic check,47.85,3147.5,Yes
Yes,72,DSL,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.85,5102.35,No
No,55,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.8,5617.75,Yes
No,4,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.55,235.65,No
Yes,60,DSL,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.05,4663.4,No
No,5,DSL,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,55.75,266.95,No
No,9,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.75,865.8,Yes
Yes,66,DSL,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),65.7,4378.9,No
No,42,DSL,Yes,Yes,No,Yes,One year,Yes,Mailed check,67.7,2882.25,No
No,71,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Mailed check,111.3,7985.9,No
No,8,DSL,Yes,Yes,No,Yes,Two year,No,Mailed check,65.5,564.35,No
No,63,Fiber optic,Yes,No,No,No,One year,Yes,Credit card (automatic),81.15,5224.5,No
Yes,68,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6185.8,No
No,62,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.3,6613.65,No
Yes,32,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,35.15,1051.05,No
No,71,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),99.65,7181.25,No
Yes,34,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,3688.6,No
No,4,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.05,129.6,No
Yes,48,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),99.7,4977.2,No
Yes,6,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.9,365.35,Yes
No,56,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),68.45,4014.0,No
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.55,53.55,No
Yes,70,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.6,7882.5,No
No,72,Fiber optic,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),84.05,6052.25,No
No,33,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,103.75,3361.05,Yes
No,53,DSL,Yes,No,No,Yes,One year,No,Bank transfer (automatic),74.1,3833.95,No
Yes,5,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),64.4,316.9,No
No,58,Fiber optic,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),99.15,5720.95,No
Yes,72,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),55.65,3880.05,No
Yes,61,DSL,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),50.7,3088.75,No
Yes,1,DSL,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes
Yes,5,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.4,232.55,No
No,27,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,2754.45,Yes
No,61,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.2,5895.45,No
Yes,50,DSL,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),43.05,2208.05,No
Yes,24,DSL,Yes,No,No,No,Two year,No,Electronic check,64.35,1558.65,No
No,62,DSL,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),72.0,4284.2,No
Yes,70,DSL,Yes,Yes,Yes,No,Two year,No,Electronic check,80.7,5617.95,No
